address,amount,decimals,uiAmount,uiAmountString
3bQvcXYPiD7AUFHsidJzmKJo2U4RX81mrTveuXBunhQ9,211448272168910,9,211448.27216891,211448.27216891
2SP5VzXU86JMr3oZXxwakzBHP5ZDf9T3LNaAZbctjiG9,209155274090719,9,209155.274090719,209155.274090719
FBJyBQBiafxk2UnVKxWtfvCPGHdyuQY14y9LTB5weSzF,188490000112830,9,188490.00011283,188490.00011283
GLL5KQfLBQknLyyh6FxSVaeudM5HgiZKcVKE8AZG2ty3,57650727693390,9,57650.72769339,57650.72769339
2xGxAw3gH6nJmDxEWmUbT3cu2fWdwReTW77rUs8aarqA,54984496561263,9,54984.496561263,54984.496561263
8nDwf9PFgnotsfveC3iZXg3ZRkPkXhD4jKSCpfVmAMaR,50221715038893,9,50221.715038893,50221.715038893
DHWgzQNdYzCF2MUv16fc1oPxNMFNWM48TRNHkS2BZ1x6,50003802026121,9,50003.802026121,50003.802026121
CvHUwL85tewrTjJCBRT2jmVNUo2zKJefk1sWs4oUAyxr,31849788086952,9,31849.788086952,31849.788086952
38DbzD85mvT1oG6W9trn6dKcv5arMJKgQXauBCVZmYKX,30088342357774,9,30088.342357774,30088.342357774
9WfNTQUfxFa7HWt2sMdC4EtWnKtsMxiZAt7yZQNtwspe,20261454538242,9,20261.454538242,20261.454538242
AvbFf7gDEEK67rh5fyRjCkWK9kDR3YvbzdZxjfbAEP7a,17704140796383,9,17704.140796383,17704.140796383
AK224Fowx1Qp58dvZ8RQvQFfnbW31DSweyydvoRC7uH2,17361998851911,9,17361.998851911,17361.998851911
54r2EwNZhSMxeEsGdhZZVZeUnhoo5vQXwQkd9n2uMSDL,15596542321170,9,15596.54232117,15596.54232117
Bdy1s4uAmpbSM4hDvgSxAbLVqrNEFDXUtNMRUPLffqwb,9638303387914,9,9638.303387914,9638.303387914
6ZVuhhcs3VmMZyVgtiRGZNhqTG17GfzrKa5RX21iyRwU,7138803960243,9,7138.803960243,7138.803960243
4YMhuCqpAZUY9XugSQF6BvHCcpJpQxcEwS8tn6ewiq7b,6938112180850,9,6938.11218085,6938.11218085
81daMQQ4HNB1tZNQEmCzM7VJkKJDRwznm9CJKmbLkvDb,5380017505792,9,5380.017505792,5380.017505792
HSJzNRCrtDdiHP7GbHFgnKCUs1AecaoF1JmoRUQ63Pp,5101543268619,9,5101.543268619,5101.543268619
HJjzT1Y11AS5JC24dDprX4qMWjR2y1VqUYBUyiGUC3s6,1555980398657,9,1555.980398657,1555.980398657
HW3fEvVbD2fL9eVYhQFbG7Nj4fohwZpA3Adfkt5K6yiG,1111067913160,9,1111.06791316,1111.06791316
